year,month,day,tow.id,crab.number,sex,shell.condition,body.part,colour.L,colour.a,colour.b
2017,7,21,GP113F,76,1,4,chela,57.61,0.68,13.25
2017,7,21,GP113F,77,1,4,chela,55.71,0.1,16.44
2017,7,21,GP113F,96,1,3,chela,57.72,-2.41,10.34
2017,7,21,GP127F,1,1,1,chela,64.67,-2.71,-0.41
2017,7,21,GP127F,2,1,1,chela,63.85,-2.76,0.85
2017,7,21,GP127F,10,1,3,chela,56.66,-0.42,15.74
2017,7,21,GP127F,15,1,3,chela,56.37,-1.81,10.24
2017,7,21,GP127F,45,1,2,chela,61.93,-2.54,1.3
2017,7,21,GP127F,54,1,2,chela,65.17,-2.78,1.47
2017,7,21,GP127F,95,1,3M,chela,61.11,-1.44,11.62
2017,7,21,GP127F,161,1,4,chela,48.91,1.11,18.08
2017,7,21,GP127F,186,1,4,chela,47.57,0.99,8.54
2017,7,21,GP125F,1,1,1,chela,58.74,-0.79,0.36
2017,7,21,GP125F,14,1,3,chela,50.77,1.99,9.23
2017,7,21,GP125F,16,1,1,chela,60.06,-2.02,-0.1
2017,7,21,GP125F,23,1,3,chela,58.15,-1.99,10.47
2017,7,21,GP125F,63,1,2,chela,60.73,-2.67,3.93
2017,7,21,GP125F,73,1,4,chela,51.47,1.55,15.26
2017,8,1,GP002F,1,1,1,chela,62.22,-1.6,8.09
2017,8,1,GP002F,23,1,1,chela,62.7,-2.2,2.46
2017,8,1,GP002F,31,1,2,chela,63.02,-2.32,5.46
2017,8,1,GP004F,1,1,1,chela,62.03,-2.45,0.44
2017,8,1,GP004F,11,1,,chela,62.33,-2.01,2.88
2017,8,1,GP004F,20,1,,chela,55.99,-1.85,1.45
2017,8,1,GP004F,38,1,,chela,64.92,-2.81,6.52
2017,8,1,GP003F,16,1,1,chela,59.66,-1.96,3.76
2017,8,1,GP003F,21,1,1,chela,63.74,-2.69,1.43
2017,8,1,GP003F,27,1,1,chela,68.36,-3.05,1.58
2017,8,1,GP001F,8,1,2,chela,58.68,-1.58,5.22
2017,8,1,GP001F,51,1,3,chela,66.15,-2.83,5.28
2017,8,1,GP001F,78,1,1,chela,56.86,-1.21,6.71
2017,8,1,GP001F,87,1,2,chela,51.34,-0.82,7.55
2017,8,1,GP005F,1,1,3,chela,61.68,-1.12,11.49
2017,8,1,GP005F,3,1,2,chela,54.38,-0.93,3.48
2017,8,1,GP005F,4,1,1,chela,61.34,-2.11,3.24
2017,8,1,GP005F,15,1,2,chela,62.34,-1.25,2.9
2017,8,1,GP005F,52,1,1,chela,65.33,-2.39,2.73
2017,8,1,GP006F,1,1,2,chela,66.77,-2.09,5.68
2017,8,1,GP006F,2,1,2,chela,57.66,-1.58,-0.53
2017,8,1,GP006F,3,1,1,chela,65.26,-3.27,0.74
2017,8,1,GP006F,5,1,1,chela,56.64,-1.2,3.58
2017,8,1,GP006F,7,1,3M,chela,50.72,1.18,13.15
2017,8,1,GP006F,9,1,3M,chela,51.61,0.05,9.97
2017,8,1,GP006F,21,1,3,chela,65.22,-3.15,3.45
2017,8,1,GP006F,32,1,3,chela,47.7,1.08,11.44
2017,8,1,GP007F,2,1,2,chela,62.79,-2.11,0.19
2017,8,1,GP007F,7,1,2,chela,64.77,-3.4,0.89
2017,8,1,GP007F,19,1,3,chela,53.53,-1.02,8.66
2017,8,1,GP007F,20,1,1,chela,58.18,-2.4,-1.14
2017,8,1,GP007F,22,1,3M,chela,53.34,0.65,15.45
2017,8,1,GP008F,1,1,3,chela,48.54,1.3,11.47
2017,8,1,GP008F,2,1,1,chela,53.51,-0.97,2.65
2017,8,1,GP008F,3,1,1,chela,54.63,-1.57,0.92
2017,8,1,GP008F,10,1,2,chela,60.37,-2.37,-1.52
2017,8,1,GP008F,12,1,3,chela,51.43,0.22,11.68
2017,8,1,GP008F,18,1,3M,chela,58.47,-0.41,14.63
2017,8,1,GP008F,19,1,3M,chela,51.61,-0.36,6.2
2017,8,1,GP008F,23,1,2,chela,63.48,-2.83,0.67
2017,8,1,GP009F,10,1,1,chela,65.3,-2.39,0.7
2017,8,1,GP009F,11,1,3M,chela,49.48,0.51,7.43
2017,8,1,GP009F,12,1,2,chela,58.86,-1.85,3.72
2017,8,1,GP009F,17,1,2,chela,57.46,-1.89,1.1
2017,8,1,GP009F,25,1,1,chela,63.92,-2.44,0.46
2017,8,1,GP011F,2,1,2,chela,56.09,-1.65,0.72
2017,8,1,GP011F,3,1,3,chela,49.04,0.73,9.62
2017,8,1,GP011F,4,1,4,chela,51.36,-0.13,9.59
2017,8,1,GP011F,6,1,2,chela,55.16,-1.48,-0.11
2017,8,1,GP010F,4,1,2,chela,58.96,-1.67,2.19
2017,8,1,GP010F,5,1,3,chela,56.88,-0.36,13.6
2017,8,1,GP010F,8,1,1,chela,64.87,-2.78,2.42
2017,8,1,GP010F,13,1,2,chela,62.72,-2.43,1.51
2017,8,1,GP010F,22,1,1,chela,62.73,-2.83,0.08
2017,8,1,GP010F,34,1,3M,chela,51.99,0.86,11.58
2017,8,1,GP010F,51,1,3M,chela,50.63,0.44,10.6
